rank,pri_sch_name,latitude,longitude
1,NANYANG PRIMARY SCHOOL,1.32084749904532,103.807750155296
2,TAO NAN SCHOOL,1.30528528687321,103.911553152326
3,CATHOLIC HIGH SCHOOL,1.3547230747166,103.844874676599
4,NAN HUA PRIMARY SCHOOL,1.31920159956387,103.761095065761
5,SAINT HILDA'S PRIMARY SCHOOL,1.34938565036336,103.937007133662
6,HENRY PARK PRIMARY SCHOOL,1.31667646178347,103.784296227747
7,ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054523521,103.835609732354
8,RAFFLES GIRLS' PRIMARY SCHOOL,1.3294042600012,103.806442915912
9,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.33805634613048,103.776106448614
10,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878916,103.834253269436
11,ROSYTH SCHOOL,1.37289067499064,103.875001549174
12,KONG HWA SCHOOL,1.31099674009193,103.888352029067
13,POI CHING SCHOOL,1.35765122315688,103.935246477199
14,HOLY INNOCENTS' PRIMARY SCHOOL,1.36693830877349,103.894114899795
15,AI TONG SCHOOL,1.3605834338904,103.833020333986
16,RED SWASTIKA SCHOOL,1.33324297847732,103.934332314404
17,MARIS STELLA HIGH SCHOOL,1.34218395739981,103.87809644863
18,RULANG PRIMARY SCHOOL,1.34673868889096,103.718457955487
19,PEI CHUN PUBLIC SCHOOL,1.33737358725951,103.855585578061
20,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.32080725235992,103.827744749548
21,METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268396,103.884971343143
22,HONG WEN SCHOOL,1.32175999964553,103.857628468881
23,MAHA BODHI SCHOOL,1.32847086658384,103.901298737314
24,ANGLO-CHINESE SCHOOL (JUNIOR),1.30935041274966,103.840950265464
25,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30054082453424,103.785438270044
26,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268396,103.884971343143
27,RADIN MAS PRIMARY SCHOOL,1.27495823622634,103.824188270373
28,SOUTH VIEW PRIMARY SCHOOL,1.38166664389749,103.746275846011
29,CHONGFU SCHOOL,1.43839562897006,103.839309173817
30,SAINT MARGARET'S PRIMARY SCHOOL,1.32439150290682,103.881624837373
31,CHONGZHENG PRIMARY SCHOOL,1.35070739237744,103.951399541868
32,PUNGGOL PRIMARY SCHOOL,1.37779451191095,103.894506933668
33,QIFA PRIMARY SCHOOL,1.31325113867272,103.756743261958
34,ADMIRALTY PRIMARY SCHOOL,1.4426347903311,103.800040119743
35,YANGZHENG PRIMARY SCHOOL,1.34864575840923,103.868595527042
36,MAYFLOWER PRIMARY SCHOOL,1.37614621670476,103.835805246743
37,WOODLANDS PRIMARY SCHOOL,1.43655108594232,103.791570546509
38,RIVERVALE PRIMARY SCHOOL,1.39340997767762,103.904559511997
39,BUKIT PANJANG PRIMARY SCHOOL,1.37362179302436,103.769374904025
40,GONGSHANG PRIMARY SCHOOL,1.35723721393297,103.949115320172
41,WELLINGTON PRIMARY SCHOOL,1.45192019155475,103.822303719094
42,INNOVA PRIMARY SCHOOL,1.42896700684852,103.790607539185
43,PRINCESS ELIZABETH PRIMARY SCHOOL,1.349203512653,103.74101964471
44,MEE TOH SCHOOL,1.3946184538592,103.908589494228
45,CHIJ PRIMARY (TOA PAYOH),1.33275264711587,103.841847263786
46,KHENG CHENG SCHOOL,1.3373381935639,103.847148501824
47,HAIG GIRLS' SCHOOL,1.31194344271383,103.902902557195
48,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34939813669536,103.855018233311
49,HOUGANG PRIMARY SCHOOL,1.37738245231461,103.880805274557
50,TEMASEK PRIMARY SCHOOL,1.31770677551333,103.945590669163
51,ANDERSON PRIMARY SCHOOL,1.38426429436736,103.841392081119
52,SAINT JOSEPH'S INSTITUTION JUNIOR,1.31772860986913,103.845611935235
