address,nearest_pri_sch,nearest_pri_sch_dist
18 BEDOK SOUTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.4688749081264539
40 CHAI CHEE AVENUE,FENGSHAN PRIMARY SCHOOL,0.7238487691560602
57 NEW UPPER CHANGI ROAD,BEDOK GREEN PRIMARY SCHOOL,0.4206461569013723
105 BEDOK NORTH AVENUE 4,RED SWASTIKA SCHOOL,0.24769046988205384
709 BEDOK RESERVOIR ROAD,DAMAI PRIMARY SCHOOL,0.11988789062834873
42 CHAI CHEE STREET,FENGSHAN PRIMARY SCHOOL,0.6992169917208673
55 CHAI CHEE DRIVE,ST. STEPHEN'S SCHOOL,0.9104223339131248
2 BEDOK SOUTH AVENUE 1,BEDOK GREEN PRIMARY SCHOOL,0.5622421523998405
37 CHAI CHEE AVENUE,OPERA ESTATE PRIMARY SCHOOL,0.6640408862339611
231 BISHAN STREET 23,CATHOLIC HIGH SCHOOL,0.3029051687500806
425 BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,0.3103049110808917
117 BEDOK NORTH ROAD,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.5490413350532267
423 BEDOK NORTH AVENUE 1,FENGSHAN PRIMARY SCHOOL,0.5145824815027793
533 BEDOK NORTH STREET 3,DAMAI PRIMARY SCHOOL,0.37480340361215414
149 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.5531937126773779
35 BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,0.24352128043840476
42 BEDOK SOUTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.38395776836555384
34 BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,0.16250410066869622
7 BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,0.2786712683493609
8 BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,0.21461826894738664
80 BEDOK NORTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.6344626187918049
78 BEDOK NORTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.535876122275407
135 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.28229849291423315
148 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.47992712561127265
81 BEDOK NORTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.6728980766107442
142 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.5617580019262145
124 BEDOK NORTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.6557611706222168
705 BEDOK NORTH ROAD,DAMAI PRIMARY SCHOOL,0.29782962770554205
129 KIM TIAN ROAD,ZHANGDE PRIMARY SCHOOL,0.4678684498849113
554 BEDOK NORTH STREET 3,YU NENG PRIMARY SCHOOL,0.45177952046818615
602 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.20361591732728537
508 BEDOK NORTH AVENUE 3,YU NENG PRIMARY SCHOOL,0.0852619505228871
720 BEDOK RESERVOIR ROAD,DAMAI PRIMARY SCHOOL,0.4083567328900572
765 BEDOK RESERVOIR VIEW,RED SWASTIKA SCHOOL,0.2810936236899502
10 CHAI CHEE ROAD,OPERA ESTATE PRIMARY SCHOOL,0.8163856784141518
185 BEDOK NORTH ROAD,BEDOK GREEN PRIMARY SCHOOL,0.4505570149645634
111 LENGKONG TIGA,EUNOS PRIMARY SCHOOL,0.7721935560933101
220B BEDOK CENTRAL,BEDOK GREEN PRIMARY SCHOOL,0.45268715872102033
603 BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,0.20250357994498747
21 CHAI CHEE ROAD,OPERA ESTATE PRIMARY SCHOOL,0.659195914645419
672 JALAN DAMAI,TELOK KURAU PRIMARY SCHOOL,0.27285946570501596
415 BEDOK NORTH AVENUE 2,FENGSHAN PRIMARY SCHOOL,0.17471674513582408
763 BEDOK RESERVOIR VIEW,RED SWASTIKA SCHOOL,0.23006431813031863
805 CHAI CHEE ROAD,OPERA ESTATE PRIMARY SCHOOL,0.5348711244955447
723 BEDOK RESERVOIR ROAD,YU NENG PRIMARY SCHOOL,0.4730305133990883
722 BEDOK RESERVOIR ROAD,YU NENG PRIMARY SCHOOL,0.5156720143223003
219C BEDOK CENTRAL,BEDOK GREEN PRIMARY SCHOOL,0.5097200710428594
640 BEDOK RESERVOIR ROAD,MAHA BODHI SCHOOL,0.5624453226859776
160 BEDOK SOUTH AVENUE 3,TEMASEK PRIMARY SCHOOL,0.1773279408008257
94C BEDOK NORTH AVENUE 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.2888598237155868
22 SIN MING ROAD,CATHOLIC HIGH SCHOOL,0.6723710413317826
407 SIN MING AVENUE,AI TONG SCHOOL,0.34404759950471625
105 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.21430397103686688
167 BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.16197169721192625
111 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.17697487200714893
181 BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.17469736678183195
166 BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.09096207372598308
109 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.16400237389897607
115 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.21577730754878696
260 BISHAN STREET 22,CATHOLIC HIGH SCHOOL,0.6141993277629574
