school_name,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,1.44254963931583,103.800213682734
AHMAD IBRAHIM PRIMARY SCHOOL,1.43315271543517,103.832942401086
AI TONG SCHOOL,1.36058343005814,103.83302033725
ALEXANDRA PRIMARY SCHOOL,1.2912990413487,103.823940802388
ANCHOR GREEN PRIMARY SCHOOL,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,1.38419941907925,103.841411716006
ANG MO KIO PRIMARY SCHOOL,1.36932176584608,103.839630858752
ANGLO-CHINESE SCHOOL (JUNIOR),1.30932252730174,103.841552127373
ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,1.34855287558648,103.951808105552
BEACON PRIMARY SCHOOL,1.38424146547316,103.773868475891
BEDOK GREEN PRIMARY SCHOOL,1.32344593287992,103.937878976352
BENDEMEER PRIMARY SCHOOL,1.32181250780475,103.865404167629
BLANGAH RISE PRIMARY SCHOOL,1.27612800081734,103.808594147148
BOON LAY GARDEN PRIMARY SCHOOL,1.34284013791617,103.712858381937
BUKIT PANJANG PRIMARY SCHOOL,1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,1.33751860013147,103.767243310781
BUKIT VIEW PRIMARY SCHOOL,1.34586054788695,103.75366641455
CANBERRA PRIMARY SCHOOL,1.45130467584562,103.815839476605
CANOSSA CATHOLIC PRIMARY SCHOOL,1.32664424544839,103.882227964852
CANTONMENT PRIMARY SCHOOL,1.27547252623201,103.839962631748
CASUARINA PRIMARY SCHOOL,1.37246063927999,103.957020286115
CATHOLIC HIGH SCHOOL,1.35438878373608,103.844210670766
CEDAR PRIMARY SCHOOL,1.33566084356265,103.87562006259
CHANGKAT PRIMARY SCHOOL,1.34023163951633,103.952080114035
CHIJ (KATONG) PRIMARY,1.30648535277087,103.911105620496
CHIJ (KELLOCK),1.27474048872023,103.827954007978
CHIJ OUR LADY OF GOOD COUNSEL,1.35799494859112,103.864152052213
